dataset_a,dataset_b,k,seed,exact_jaccard,estimated_jaccard,absolute_error,execution_time_seconds
incollection,proceedings,64,0,6.140092346988899e-05,0.0,6.140092346988899e-05,211.471
incollection,proceedings,128,0,6.140092346988899e-05,0.0,6.140092346988899e-05,211.471
incollection,proceedings,256,0,6.140092346988899e-05,0.0,6.140092346988899e-05,211.471
incollection,proceedings,512,0,6.140092346988899e-05,0.0,6.140092346988899e-05,211.471
inproceedings,mastersthesis,64,0,8.447900157084011e-06,0.0,8.447900157084011e-06,211.471
inproceedings,mastersthesis,128,0,8.447900157084011e-06,0.0,8.447900157084011e-06,211.471
inproceedings,mastersthesis,256,0,8.447900157084011e-06,0.0,8.447900157084011e-06,211.471
inproceedings,mastersthesis,512,0,8.447900157084011e-06,0.0,8.447900157084011e-06,211.471
inproceedings,phdthesis,64,0,0.03660544630931325,0.03125,0.0053554463093132484,211.471
inproceedings,phdthesis,128,0,0.03660544630931325,0.0234375,0.013167946309313248,211.471
inproceedings,phdthesis,256,0,0.03660544630931325,0.0234375,0.013167946309313248,211.471
inproceedings,phdthesis,512,0,0.03660544630931325,0.02734375,0.009261696309313248,211.471
inproceedings,proceedings,64,0,7.978579859717794e-06,0.0,7.978579859717794e-06,211.471
inproceedings,proceedings,128,0,7.978579859717794e-06,0.0,7.978579859717794e-06,211.471
inproceedings,proceedings,256,0,7.978579859717794e-06,0.0,7.978579859717794e-06,211.471
inproceedings,proceedings,512,0,7.978579859717794e-06,0.0,7.978579859717794e-06,211.471
mastersthesis,phdthesis,64,0,0.00010923788369806649,0.0,0.00010923788369806649,211.471
mastersthesis,phdthesis,128,0,0.00010923788369806649,0.0,0.00010923788369806649,211.471
mastersthesis,phdthesis,256,0,0.00010923788369806649,0.0,0.00010923788369806649,211.471
mastersthesis,phdthesis,512,0,0.00010923788369806649,0.0,0.00010923788369806649,211.471
mastersthesis,proceedings,64,0,0.0,0.0,0.0,211.471
mastersthesis,proceedings,128,0,0.0,0.0,0.0,211.471
mastersthesis,proceedings,256,0,0.0,0.0,0.0,211.471
mastersthesis,proceedings,512,0,0.0,0.0,0.0,211.471
phdthesis,proceedings,64,0,1.8205153879063164e-05,0.0,1.8205153879063164e-05,211.471
phdthesis,proceedings,128,0,1.8205153879063164e-05,0.0,1.8205153879063164e-05,211.471
phdthesis,proceedings,256,0,1.8205153879063164e-05,0.0,1.8205153879063164e-05,211.471
phdthesis,proceedings,512,0,1.8205153879063164e-05,0.0,1.8205153879063164e-05,211.471
